Comment,Designator,Footprint,LCSC
#4b,MX14,MX-1U-NoLED,
#1,MX1,MX-1U-NoLED,
#2c,MX7,MX-1U-NoLED,
#4,MX13,MX-1U-NoLED,
#2d,MX8,MX-1U-NoLED,
#3b,MX10,MX-1U-NoLED,
#1b,MX2,MX-1U-NoLED,
#3d,MX12,MX-1U-NoLED,
#3c,MX11,MX-1U-NoLED,
RotaryEncoder_Switch,SW2,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,
#4c,MX15,MX-2U-NoLED,
#1c,MX3,MX-1U-NoLED,
#1d,MX4,MX-1U-NoLED,
Conn_01x04_Female_For_LCD,J3,PinHeader_1x04_P2.54mm_Vertical,
#2b,MX6,MX-1U-NoLED,
#2,MX5,MX-1U-NoLED,
#3,MX9,MX-1U-NoLED,
22,R3,R_0805_2012Metric,
D_Small,D3,D_SOD-123,
D_Small,D4,D_SOD-123,
0.1uF,C4,C_0805_2012Metric,
D_Small,D8,D_SOD-123,
ATmega32U4-A,U1,TQFP-44_10x10mm_P0.8mm,
10k,R4,R_0805_2012Metric,
22,R2,R_0805_2012Metric,
D_Small,D15,D_SOD-123,
D_Small,D16,D_SOD-123,
Conn_01x04,J2,JST-SR-4,
0.1uF,C3,C_0805_2012Metric,
10K,R6,R_0805_2012Metric,
D_Small,D14,D_SOD-123,
D_Small,D10,D_SOD-123,
10k,R1,R_0805_2012Metric,
SW_Push,SW1,SKQG-1155865,
D_Small,D6,D_SOD-123,
22pF,C1,C_0805_2012Metric,
D_Small,D12,D_SOD-123,
16MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,
22pF,C2,C_0805_2012Metric,
D_Small,D9,D_SOD-123,
D_Small,D11,D_SOD-123,
D_Small,D5,D_SOD-123,
D_Small,D1,D_SOD-123,
1uF,C6,C_0805_2012Metric,
0.1uF,C8,C_0805_2012Metric,
D_Small,D2,D_SOD-123,
D_Small,D7,D_SOD-123,
10uF,C7,C_0805_2012Metric,
10K,R5,R_0805_2012Metric,
0.1uF,C5,C_0805_2012Metric,
D_Small,D13,D_SOD-123,
